label_hemi	region
FPole_1_L	Frontal
IPL_1_L	Parietal
IPL_2_L	Parietal
PCC_1_L	Cingulate
PFCd_1_L	Frontal
PFCm_1_L	Frontal
PFCm_2_L	Frontal
PFCm_3_L	Frontal
PFCm_4_L	Frontal
PHC_1_L	Temporal
Temp_1_L	Temporal
Temp_2_L	Temporal
TempPole_1_L	Temporal
pCun_1_L	Parietal
FPole_1_L	Frontal
IPL_1_L	Parietal
IPL_2_L	Parietal
PCC_1_L	Cingulate
PCC_2_L	Cingulate
PFCd_1_L	Frontal
PFCd_2_L	Frontal
PFCd_3_L	Frontal
PFCd_4_L	Frontal
PFCl_1_L	Frontal
PFCv_1_L	Frontal
PFCv_2_L	Frontal
Temp_1_L	Temporal
Temp_2_L	Temporal
TempPole_1_L	Temporal
TempPole_2_L	Temporal
IPL_1_L	Parietal
PFCd_1_L	Frontal
PFCd_2_L	Frontal
PHC_1_L	Temporal
PHC_2_L	Temporal
RSC_1_L	Cingulate
RSC_2_L	Cingulate
RSC_3_L	Cingulate
pCun_1_L	Parietal
pCun_2_L	Parietal
pCun_3_L	Parietal
IFG_1_L	Frontal
IFG_2_L	Frontal
IPL_1_L	Parietal
PFCd_1_L	Frontal
PFCd_2_L	Frontal
PFCl_1_L	Frontal
Temp_1_L	Temporal
Temp_2_L	Temporal
Temp_3_L	Temporal
TempPole_1_L	Temporal
Cingm_1_L	Cingulate
IPS_1_L	Parietal
IPS_2_L	Parietal
IPS_3_L	Parietal
Ins_1_L	Insula
OFC_1_L	Orbitofrontal
PFCd_1_L	Frontal
PFCl_1_L	Frontal
PFCl_2_L	Frontal
PFCl_3_L	Frontal
PFCl_4_L	Frontal
Temp_1_L	Temporal
FPole_1_L	Frontal
IPL_1_L	Parietal
IPL_2_L	Parietal
IPS_1_L	Parietal
OFC_1_L	Orbitofrontal
OFC_2_L	Orbitofrontal
OFC_3_L	Orbitofrontal
PCC_1_L	Cingulate
PFCd_1_L	Frontal
PFCmp_1_L	Frontal
Temp_1_L	Temporal
Temp_2_L	Temporal
Cingp_1_L	Cingulate
Cingp_2_L	Cingulate
FPole_1_L	Frontal
Ins_1_L	Insula
PFCm_1_L	Frontal
PFCm_2_L	Frontal
PHC_1_L	Temporal
pCun_1_L	Parietal
pCun_2_L	Parietal
FrMed_1_L	Frontal
FrMed_2_L	Frontal
FrOper_1_L	Frontal
IPL_1_L	Parietal
Ins_1_L	Insula
Ins_2_L	Insula
Ins_3_L	Insula
PFCd_1_L	Frontal
SPL_1_L	Parietal
SPL_2_L	Parietal
SPL_3_L	Parietal
IFG_1_L	Frontal
IPL_1_L	Parietal
IPL_2_L	Parietal
Ins_1_L	Insula
Ins_2_L	Insula
OFC_1_L	Orbitofrontal
OFC_2_L	Orbitofrontal
PFCl_1_L	Frontal
PFCl_2_L	Frontal
PFCl_3_L	Frontal
PFCmp_1_L	Frontal
SPL_1_L	Parietal
Temp_1_L	Temporal
IPL_1_L	Parietal
IPL_2_L	Parietal
IPS_1_L	Parietal
IPS_2_L	Parietal
IPS_3_L	Parietal
IPS_4_L	Parietal
PFCd_1_L	Frontal
PrCd_1_L	Frontal
PrCv_1_L	Frontal
SPL_1_L	Parietal
SPL_2_L	Parietal
TempOcc_1_L	Temporal
TempOcc_2_L	Temporal
TempOcc_3_L	Temporal
TempPole_1_L	Temporal
TempPole_2_L	Temporal
FrMed_1_L	Frontal
ParOper_1_L	Parietal
PostC_1_L	Parietal
PostC_2_L	Parietal
PostC_3_L	Parietal
PrCd_1_L	Frontal
PrCd_2_L	Frontal
PrCv_1_L	Frontal
SPL_1_L	Parietal
SPL_2_L	Parietal
SPL_3_L	Parietal
SPL_4_L	Parietal
Ins_1_L	Insula
ParOcc_1_L	Parietal
ST_1_L	Temporal
ST_2_L	Temporal
ST_3_L	Temporal
ST_4_L	Temporal
ST_5_L	Temporal
ST_6_L	Temporal
ST_7_L	Temporal
TempPole_1_L	Temporal
ParOper_1_L	Parietal
1_L	Parietal
2_L	Parietal
3_L	Parietal
4_L	Parietal
5_L	Parietal
6_L	Parietal
7_L	Parietal
8_L	Parietal
9_L	Parietal
10_L	Parietal
11_L	Parietal
12_L	Parietal
Ins_1_L	Insula
ParOper_1_L	Parietal
ParOper_2_L	Parietal
1_L	Parietal
2_L	Parietal
3_L	Parietal
4_L	Parietal
5_L	Parietal
6_L	Parietal
7_L	Parietal
8_L	Parietal
9_L	Parietal
ExStr_1_L	Occipital
ExStr_2_L	Occipital
ExStr_3_L	Occipital
ExStr_4_L	Occipital
ExStr_5_L	Occipital
ExStr_6_L	Occipital
ExStr_7_L	Occipital
ExStr_8_L	Occipital
ExStr_9_L	Occipital
ExStr_10_L	Occipital
ExStr_11_L	Occipital
PrC_1_L	Frontal
SPL_1_L	Parietal
ExStrInf_1_L	Occipital
ExStrInf_2_L	Occipital
ExStrInf_3_L	Occipital
ExStrInf_4_L	Occipital
ExStrSup_1_L	Occipital
ExStrSup_2_L	Occipital
ExStrSup_3_L	Occipital
ExStrSup_4_L	Occipital
ExStrSup_5_L	Occipital
Striate_1_L	Occipital
Striate_2_L	Occipital
Striate_3_L	Occipital
ExStr_1_L	Occipital
ExStr_2_L	Occipital
ExStr_3_L	Occipital
Striate_1_L	Occipital
IPL_1_R	Parietal
PCC_1_R	Cingulate
PFCd_1_R	Frontal
PFCm_1_R	Frontal
PFCm_2_R	Frontal
PFCm_3_R	Frontal
PFCm_4_R	Frontal
PHC_1_R	Temporal
Temp_1_R	Temporal
Temp_2_R	Temporal
Temp_3_R	Temporal
TempPole_1_R	Temporal
TempPole_2_R	Temporal
pCun_1_R	Parietal
FPole_1_R	Frontal
IPL_1_R	Parietal
PFCd_1_R	Frontal
PFCd_2_R	Frontal
PFCd_3_R	Frontal
PFCd_4_R	Frontal
PFCv_1_R	Frontal
Temp_1_R	Temporal
Temp_2_R	Temporal
TempPole_1_R	Temporal
pCun_1_R	Parietal
IPL_1_R	Parietal
IPL_2_R	Parietal
IPL_3_R	Parietal
PFCd_1_R	Frontal
PHC_1_R	Temporal
PHC_2_R	Temporal
RSC_1_R	Cingulate
RSC_2_R	Cingulate
RSC_3_R	Cingulate
pCun_1_R	Parietal
pCun_2_R	Parietal
IFG_1_R	Frontal
PFCd_1_R	Frontal
PFCl_1_R	Frontal
PFCl_2_R	Frontal
Temp_1_R	Temporal
Temp_2_R	Temporal
TempPole_1_R	Temporal
TempPole_2_R	Temporal
Cingm_1_R	Cingulate
IPS_1_R	Parietal
IPS_2_R	Parietal
IPS_3_R	Parietal
IPS_4_R	Parietal
OFC_1_R	Orbitofrontal
PFCd_1_R	Frontal
PFCl_1_R	Frontal
PFCl_2_R	Frontal
PFCl_3_R	Frontal
PFCmp_1_R	Frontal
SPL_1_R	Parietal
Temp_1_R	Temporal
FPole_1_R	Frontal
IFG_1_R	Frontal
IPL_1_R	Parietal
IPL_2_R	Parietal
IPS_1_R	Parietal
OFC_1_R	Orbitofrontal
OFC_2_R	Orbitofrontal
OFC_3_R	Orbitofrontal
PCC_1_R	Cingulate
PFCd_1_R	Frontal
PFCl_2_R	Frontal
PFCmp_1_R	Frontal
Temp_1_R	Temporal
Cingp_1_R	Cingulate
Cingp_2_R	Cingulate
IPL_1_R	Parietal
Ins_1_R	Insula
OFC_1_R	Orbitofrontal
OFC_2_R	Orbitofrontal
PCC_1_R	Cingulate
PFCl_1_R	Frontal
PFCl_2_R	Frontal
PFCl_3_R	Frontal
PFCm_1_R	Frontal
PFCm_2_R	Frontal
PFCm_3_R	Frontal
pCun_1_R	Parietal
FrMed_1_R	Frontal
FrMed_2_R	Frontal
FrMed_3_R	Frontal
FrOper_1_R	Frontal
FrOper_2_R	Frontal
IPL_1_R	Parietal
IPL_2_R	Parietal
Ins_1_R	Insula
Ins_2_R	Insula
Ins_3_R	Insula
PFCmp_1_R	Frontal
SPL_1_R	Parietal
SPL_2_R	Parietal
IFG_1_R	Frontal
IPL_1_R	Parietal
IPL_2_R	Parietal
IPL_3_R	Parietal
Ins_1_R	Insula
Ins_2_R	Insula
Ins_3_R	Insula
OFC_1_R	Orbitofrontal
PFCd_1_R	Frontal
PFCl_1_R	Frontal
PFCl_2_R	Frontal
PFCl_3_R	Frontal
SPL_1_R	Parietal
Temp_1_R	Temporal
Temp_2_R	Temporal
IPS_1_R	Parietal
IPS_2_R	Parietal
PrCd_1_R	Frontal
PrCv_1_R	Frontal
SPL_1_R	Parietal
SPL_2_R	Parietal
SPL_3_R	Parietal
SPL_4_R	Parietal
TempOcc_1_R	Temporal
TempOcc_2_R	Temporal
TempPole_1_R	Temporal
IPL_1_R	Parietal
IPL_2_R	Parietal
PostC_1_R	Parietal
PostC_2_R	Parietal
PostC_3_R	Parietal
PrCd_1_R	Frontal
PrCd_2_R	Frontal
PrCd_3_R	Frontal
PrCv_1_R	Frontal
SPL_1_R	Parietal
SPL_2_R	Parietal
SPL_3_R	Parietal
Ins_1_R	Insula
ParOcc_1_R	Parietal
ParOper_1_R	Parietal
ST_1_R	Temporal
ST_2_R	Temporal
ST_3_R	Temporal
ST_4_R	Temporal
ST_5_R	Temporal
Temp_1_R	Temporal
ParOper_1_R	Parietal
1_R	Parietal
2_R	Parietal
3_R	Parietal
4_R	Parietal
5_R	Parietal
6_R	Parietal
7_R	Parietal
8_R	Parietal
9_R	Parietal
10_R	Parietal
11_R	Parietal
12_R	Parietal
Ins_1_R	Insula
Ins_2_R	Insula
ParOper_1_R	Parietal
ParOper_2_R	Parietal
1_R	Parietal
2_R	Parietal
3_R	Parietal
4_R	Parietal
5_R	Parietal
6_R	Parietal
7_R	Parietal
ExStr_1_R	Occipital
ExStr_2_R	Occipital
ExStr_3_R	Occipital
ExStr_4_R	Occipital
ExStr_5_R	Occipital
ExStr_6_R	Occipital
ExStr_7_R	Occipital
ExStr_8_R	Occipital
ExStr_9_R	Occipital
ExStr_10_R	Occipital
ExStr_11_R	Occipital
ExStr_12_R	Occipital
PrC_1_R	Frontal
SPL_1_R	Parietal
SPL_2_R	Parietal
ExStrInf_1_R	Occipital
ExStrInf_2_R	Occipital
ExStrInf_3_R	Occipital
ExStrInf_4_R	Occipital
ExStrSup_1_R	Occipital
ExStrSup_2_R	Occipital
ExStrSup_3_R	Occipital
ExStrSup_4_R	Occipital
ExStrSup_5_R	Occipital
SPL_1_R	Parietal
Striate_1_R	Occipital
Striate_2_R	Occipital
Striate_3_R	Occipital
ExStr_1_R	Occipital
ExStr_2_R	Occipital
ExStr_3_R	Occipital
ExStr_4_R	Occipital
