x	y	location
-0.420496	-0.907294	Occipital_L
-0.863135	-0.504974	Temporal_L
-0.404687	-0.914455	Occipital_L
-0.388756	-0.921341	Occipital_L
-0.372707	-0.927949	Occipital_L
-0.356547	-0.934278	Occipital_L
-0.340279	-0.940325	Occipital_L
-0.999962	0.008678	Parietal_L
-0.999962	-0.008678	Parietal_L
-0.017452	0.999848	Frontal_L
-0.034802	0.999394	Frontal_L
-0.052141	0.998640	Frontal_L
-0.323908	-0.946089	Occipital_L
-0.716285	0.697808	Cingulate_L
-0.728287	0.685272	Cingulate_L
-0.307440	-0.951567	Occipital_L
-0.290879	-0.956760	Occipital_L
-0.274231	-0.961664	Occipital_L
-0.257500	-0.966278	Occipital_L
-0.240692	-0.970602	Occipital_L
-0.223811	-0.974633	Occipital_L
-0.206862	-0.978370	Occipital_L
-0.189852	-0.981813	Occipital_L
-0.854241	-0.519877	Temporal_L
-0.871768	-0.489918	Temporo-Parietal_L
-0.069465	0.997584	Frontal_L
-0.740071	0.672529	Cingulate_L
-0.845090	-0.534624	Temporal_L
-0.999661	-0.026031	Parietal_L
-0.751631	0.659584	Cingulate_L
-0.762965	0.646440	Cingulate_L
-0.774069	0.633102	Cingulate_L
-0.784940	0.619572	Cingulate_L
-0.795574	0.605857	Cingulate_L
-0.805969	0.591958	Cingulate_L
-0.999059	-0.043376	Parietal_L
-0.998156	-0.060708	Parietal_L
-0.996952	-0.078022	Parietal_L
-0.995447	-0.095312	Parietal_L
-0.816121	0.577881	Cingulate_L
-0.826027	0.563631	Cingulate_L
-0.993643	-0.112573	Parietal_L
-0.086767	0.996229	Frontal_L
-0.104044	0.994573	Frontal_L
-0.991540	-0.129801	Parietal_L
-0.989138	-0.146990	Parietal_L
-0.986438	-0.164134	Parietal_L
-0.983441	-0.181229	Parietal_L
-0.980148	-0.198269	Parietal_L
-0.976559	-0.215250	Parietal_L
-0.972676	-0.232165	Parietal_L
-0.968501	-0.249011	Parietal_L
-0.964033	-0.265782	Parietal_L
-0.121289	0.992617	Frontal_L
-0.138497	0.990363	Frontal_L
-0.155664	0.987810	Frontal_L
-0.835684	0.549210	Cingulate_L
-0.845090	0.534624	Cingulate_L
-0.854241	0.519877	Cingulate_L
-0.863135	0.504974	Cingulate_L
-0.871768	0.489918	Cingulate_L
-0.880140	0.474715	Cingulate_L
-0.172784	0.984960	Frontal_L
-0.888246	0.459369	Cingulate_L
-0.189852	0.981813	Frontal_L
-0.206862	0.978370	Frontal_L
-0.223811	0.974633	Frontal_L
-0.240692	0.970602	Frontal_L
-0.257500	0.966278	Frontal_L
-0.274231	0.961664	Frontal_L
-0.290879	0.956760	Frontal_L
-0.307440	0.951567	Frontal_L
-0.323908	0.946089	Frontal_L
-0.340279	0.940325	Frontal_L
-0.356547	0.934278	Frontal_L
-0.372707	0.927949	Frontal_L
-0.388756	0.921341	Frontal_L
-0.404687	0.914455	Frontal_L
-0.420496	0.907294	Frontal_L
-0.436179	0.899860	Frontal_L
-0.451730	0.892155	Frontal_L
-0.467145	0.884180	Frontal_L
