map_index	n_voxels	planned_distance_mm	achieved_distance_mm	centre_x_mm	centre_y_mm	centre_z_mm	filename
0	1000	120.3703	117.9787	-33.0	-96.0	-17.0	substrate_00.nii.gz
1	1000	106.9958	106.9769	-26.78	-85.67	-11.22	substrate_01.nii.gz
2	1000	93.6213	93.6307	-20.56	-75.33	-5.44	substrate_02.nii.gz
3	1000	80.2468	80.2498	-14.33	-65.0	0.33	substrate_03.nii.gz
4	1000	66.8724	66.8902	-8.11	-54.67	6.11	substrate_04.nii.gz
5	1000	53.4979	53.4801	-1.89	-44.33	11.89	substrate_05.nii.gz
6	1000	40.1234	40.126	4.33	-34.0	17.67	substrate_06.nii.gz
7	1000	26.7489	26.7616	10.56	-23.67	23.44	substrate_07.nii.gz
8	1000	13.3745	13.3934	16.78	-13.33	29.22	substrate_08.nii.gz
9	1000	0.0	0.0333	23.0	-3.0	35.0	substrate_09.nii.gz
