label_hemi	AreaDescription	region	network
V1_L	Primary Visual Cortex	Occipital	Primary_Visual
MST_L	Medial Superior Temporal Area	Temporal	MT+_Complex_and_Neighboring_Visual_Areas
V6_L	Sixth Visual Area	Occipital	Dorsal_Stream_Visual
V2_L	Second Visual Area	Occipital	Early_Visual
V3_L	Third Visual Area	Occipital	Early_Visual
V4_L	Fourth Visual Area	Occipital	Early_Visual
V8_L	Eighth Visual Area	Occipital	Ventral_Stream_Visual
4_L	Primary Motor Cortex	Parietal	Somatosensory_and_Motor
3b_L	Primary Sensory Cortex	Parietal	Somatosensory_and_Motor
FEF_L	Frontal Eye Fields	Frontal	Premotor
PEF_L	Premotor Eye Field	Frontal	Premotor
55b_L	Area 55b	Frontal	Premotor
V3A_L	Area V3A	Occipital	Dorsal_Stream_Visual
RSC_L	Retrosplenial Cortex	Cingulate	Posterior_Cingulate
POS2_L	Parieto-Occipital Sulcus Area 2	Cingulate	Posterior_Cingulate
V7_L	Seventh Visual Area	Occipital	Dorsal_Stream_Visual
IPS1_L	IntraParietal Sulcus Area 1	Occipital	Dorsal_Stream_Visual
FFC_L	Fusiform Face Complex	Occipital	Ventral_Stream_Visual
V3B_L	Area V3B	Occipital	Dorsal_Stream_Visual
LO1_L	Area Lateral Occipital 1	Occipital	MT+_Complex_and_Neighboring_Visual_Areas
LO2_L	Area Lateral Occipital 2	Occipital	MT+_Complex_and_Neighboring_Visual_Areas
PIT_L	Posterior InferoTemporal complex	Occipital	Ventral_Stream_Visual
MT_L	Middle Temporal Area	Occipital	MT+_Complex_and_Neighboring_Visual_Areas
A1_L	Primary Auditory Cortex	Temporal	Early_Auditory
PSL_L	PeriSylvian Language Area	Temporo-Parietal	Temporo-Parieto_Occipital_Junction
SFL_L	Superior Frontal Language Area	Frontal	Dorsolateral_Prefrontal
PCV_L	PreCuneus Visual Area	Cingulate	Posterior_Cingulate
STV_L	Superior Temporal Visual Area	Temporal	Temporo-Parieto-Occipital_Junction
7Pm_L	Medial Area 7P	Parietal	Superior_Parietal
7m_L	Area 7m	Cingulate	Posterior_Cingulate
POS1_L	Parieto-Occipital Sulcus Area 1	Cingulate	Posterior_Cingulate
23d_L	Area 23d	Cingulate	Posterior_Cingulate
v23ab_L	Area ventral 23 a+b	Cingulate	Posterior_Cingulate
d23ab_L	Area dorsal 23 a+b	Cingulate	Posterior_Cingulate
31pv_L	Area 31p ventral	Cingulate	Posterior_Cingulate
5m_L	Area 5m	Parietal	Paracentral_Lobular_and_Mid_Cingulate
5mv_L	Area 5m ventral	Parietal	Paracentral_Lobular_and_Mid_Cingulate
23c_L	Area 23c	Parietal	Paracentral_Lobular_and_Mid_Cingulate
5L_L	Area 5L	Parietal	Paracentral_Lobular_and_Mid_Cingulate
24dd_L	Dorsal Area 24d	Cingulate	Paracentral_Lobular_and_Mid_Cingulate
24dv_L	Ventral Area 24d	Cingulate	Paracentral_Lobular_and_Mid_Cingulate
7AL_L	Lateral Area 7A	Parietal	Superior_Parietal
