ROI_name	hemisphere	structure	label	AreaDescription	region	network	network_ID
Primary_Visual_Cortex_L	L	cortex	V1	Primary Visual Cortex	Occipital	Primary_Visual	1.0
Second_Visual_Area_L	L	cortex	V2	Second Visual Area	Occipital	Early_Visual	2.0
Third_Visual_Area_L	L	cortex	V3	Third Visual Area	Occipital	Early_Visual	2.0
Fourth_Visual_Area_L	L	cortex	V4	Fourth Visual Area	Occipital	Early_Visual	2.0
IntraParietal_Sulcus_Area_1_L	L	cortex	IPS1	IntraParietal Sulcus Area 1	Occipital	Dorsal_Stream_Visual	3.0
Area_V3A_L	L	cortex	V3A	Area V3A	Occipital	Dorsal_Stream_Visual	3.0
Area_V3B_L	L	cortex	V3B	Area V3B	Occipital	Dorsal_Stream_Visual	3.0
Sixth_Visual_Area_L	L	cortex	V6	Sixth Visual Area	Occipital	Dorsal_Stream_Visual	3.0
Area_V6A_L	L	cortex	V6A	Area V6A	Occipital	Dorsal_Stream_Visual	3.0
Seventh_Visual_Area_L	L	cortex	V7	Seventh Visual Area	Occipital	Dorsal_Stream_Visual	3.0
Fusiform_Face_Complex_L	L	cortex	FFC	Fusiform Face Complex	Occipital	Ventral_Stream_Visual	4.0
Posterior_InferoTemporal_complex_L	L	cortex	PIT	Posterior InferoTemporal complex	Occipital	Ventral_Stream_Visual	4.0
Eighth_Visual_Area_L	L	cortex	V8	Eighth Visual Area	Occipital	Ventral_Stream_Visual	4.0
VentroMedial_Visual_Area_1_L	L	cortex	VMV1	VentroMedial Visual Area 1	Occipital	Ventral_Stream_Visual	4.0
VentroMedial_Visual_Area_2_L	L	cortex	VMV2	VentroMedial Visual Area 2	Occipital	Ventral_Stream_Visual	4.0
VentroMedial_Visual_Area_3_L	L	cortex	VMV3	VentroMedial Visual Area 3	Occipital	Ventral_Stream_Visual	4.0
Ventral_Visual_Complex_L	L	cortex	VVC	Ventral Visual Complex	Occipital	Ventral_Stream_Visual	4.0
Area_FST_L	L	cortex	FST	Area FST	Occipital	MT+_Complex_and_Neighboring_Visual_Areas	5.0
Area_Lateral_Occipital_1_L	L	cortex	LO1	Area Lateral Occipital 1	Occipital	MT+_Complex_and_Neighboring_Visual_Areas	5.0
Area_Lateral_Occipital_2_L	L	cortex	LO2	Area Lateral Occipital 2	Occipital	MT+_Complex_and_Neighboring_Visual_Areas	5.0
Area_Lateral_Occipital_3_L	L	cortex	LO3	Area Lateral Occipital 3	Occipital	MT+_Complex_and_Neighboring_Visual_Areas	5.0
Medial_Superior_Temporal_Area_L	L	cortex	MST	Medial Superior Temporal Area	Temporal	MT+_Complex_and_Neighboring_Visual_Areas	5.0
Middle_Temporal_Area_L	L	cortex	MT	Middle Temporal Area	Occipital	MT+_Complex_and_Neighboring_Visual_Areas	5.0
Area_PH_L	L	cortex	PH	Area PH	Occipital	MT+_Complex_and_Neighboring_Visual_Areas	5.0
Area_V3CD_L	L	cortex	V3CD	Area V3CD	Occipital	MT+_Complex_and_Neighboring_Visual_Areas	5.0
Area_V4t_L	L	cortex	V4t	Area V4t	Occipital	MT+_Complex_and_Neighboring_Visual_Areas	5.0
Area_1_L	L	cortex	1	Area 1	Parietal	Somatosensory_and_Motor	6.0
Area_2_L	L	cortex	2	Area 2	Parietal	Somatosensory_and_Motor	6.0
Area_3a_L	L	cortex	3a	Area 3a	Parietal	Somatosensory_and_Motor	6.0
Primary_Sensory_Cortex_L	L	cortex	3b	Primary Sensory Cortex	Parietal	Somatosensory_and_Motor	6.0
Primary_Motor_Cortex_L	L	cortex	4	Primary Motor Cortex	Parietal	Somatosensory_and_Motor	6.0
Area_23c_L	L	cortex	23c	Area 23c	Parietal	Paracentral_Lobular_and_Mid_Cingulate	7.0
Dorsal_Area_24d_L	L	cortex	24dd	Dorsal Area 24d	Cingulate	Paracentral_Lobular_and_Mid_Cingulate	7.0
