roi_index	roi_name	slope	intercept	population_residual	r_squared
0	DefaultA_FPole_1_L	-0.001568	0.027363	0.108444	6e-06
1	DefaultA_IPL_1_L	-0.049209	0.031429	0.108138	0.005633
2	DefaultA_IPL_2_L	-0.055316	0.031125	0.108162	0.005187
3	DefaultA_PCC_1_L	-0.063124	0.03133	0.108259	0.003399
4	DefaultA_PFCd_1_L	-0.009313	0.028536	0.10843	0.000261
5	DefaultA_PFCm_1_L	-0.02156	0.028961	0.108412	0.000596
6	DefaultA_PFCm_2_L	-0.028975	0.028409	0.108424	0.000368
7	DefaultA_PFCm_3_L	-0.02132	0.028484	0.108423	0.000392
8	DefaultA_PFCm_4_L	-0.049476	0.027676	0.108439	0.0001
9	DefaultA_PHC_1_L	-0.047815	0.032679	0.108042	0.007407
10	DefaultA_Temp_1_L	-0.043085	0.031717	0.108092	0.006483
11	DefaultA_Temp_2_L	-0.056274	0.032272	0.10804	0.00743
12	DefaultA_TempPole_1_L	-0.464102	0.028663	0.108334	0.002019
13	DefaultA_pCun_1_L	-0.058085	0.031417	0.108258	0.003431
14	DefaultB_FPole_1_L	-0.009343	0.028115	0.108435	0.000161
15	DefaultB_IPL_1_L	-0.082928	0.031293	0.108144	0.005527
16	DefaultB_IPL_2_L	-0.048006	0.031925	0.108099	0.006357
17	DefaultB_PCC_1_L	-0.056029	0.028733	0.108408	0.000672
18	DefaultB_PCC_2_L	-0.057227	0.031002	0.108279	0.003043
19	DefaultB_PFCd_1_L	-0.008122	0.028659	0.10843	0.000253
20	DefaultB_PFCd_2_L	0.003064	0.02668	0.108442	3.4e-05
21	DefaultB_PFCd_3_L	0.007601	0.026082	0.108434	0.000177
22	DefaultB_PFCd_4_L	-0.014266	0.02877	0.108423	0.000395
23	DefaultB_PFCl_1_L	-0.035767	0.033022	0.108169	0.005073
24	DefaultB_PFCv_1_L	-0.182574	0.030718	0.108162	0.005198
25	DefaultB_PFCv_2_L	-0.156495	0.031121	0.108128	0.005825
26	DefaultB_Temp_1_L	-0.066134	0.032168	0.108058	0.007099
27	DefaultB_Temp_2_L	-0.056616	0.032559	0.108024	0.007739
28	DefaultB_TempPole_1_L	-0.038611	0.032381	0.108039	0.007453
