roi_index	roi_name	slope	intercept	population_residual	r_squared
0	DefaultA_FPole_1_L	-0.013852	0.143653	0.160912	0.000216
1	DefaultA_IPL_1_L	-0.074606	0.148931	0.160444	0.006021
2	DefaultA_IPL_2_L	-0.087462	0.148756	0.160439	0.006082
3	DefaultA_PCC_1_L	-0.037771	0.144741	0.160882	0.000591
4	DefaultA_PFCd_1_L	0.009268	0.140656	0.16092	0.000122
5	DefaultA_PFCm_1_L	-0.011496	0.143032	0.160923	8e-05
6	DefaultA_PFCm_2_L	-0.04431	0.144043	0.160896	0.00041
7	DefaultA_PFCm_3_L	-0.023425	0.143564	0.160911	0.000224
8	DefaultA_PFCm_4_L	-0.482874	0.147204	0.160558	0.004606
9	DefaultA_PHC_1_L	-0.072138	0.150782	0.160269	0.008186
10	DefaultA_Temp_1_L	-0.087618	0.152071	0.159869	0.013139
11	DefaultA_Temp_2_L	-0.107183	0.152382	0.159916	0.012557
12	DefaultA_TempPole_1_L	-0.891246	0.14584	0.160559	0.004592
13	DefaultA_pCun_1_L	-0.004586	0.142386	0.160928	1.1e-05
14	DefaultB_FPole_1_L	-0.023948	0.144567	0.160888	0.000513
15	DefaultB_IPL_1_L	-0.169031	0.151101	0.160059	0.010784
16	DefaultB_IPL_2_L	-0.089903	0.151592	0.160086	0.010456
17	DefaultB_PCC_1_L	-0.049534	0.143539	0.160908	0.000266
18	DefaultB_PCC_2_L	-0.00827	0.14263	0.160927	3.2e-05
19	DefaultB_PFCd_1_L	0.033514	0.135886	0.160763	0.002068
20	DefaultB_PFCd_2_L	0.033733	0.136335	0.160776	0.001907
21	DefaultB_PFCd_3_L	0.032245	0.137147	0.160806	0.001528
22	DefaultB_PFCd_4_L	0.014131	0.140351	0.160914	0.000186
23	DefaultB_PFCl_1_L	-0.059617	0.152317	0.160377	0.006858
24	DefaultB_PFCv_1_L	-0.421219	0.150833	0.159855	0.013309
25	DefaultB_PFCv_2_L	-0.301695	0.150572	0.160006	0.011442
26	DefaultB_Temp_1_L	-0.134359	0.152876	0.159806	0.013913
27	DefaultB_Temp_2_L	-0.106929	0.152797	0.159903	0.012718
28	DefaultB_TempPole_1_L	-0.073529	0.15281	0.159866	0.013167
29	DefaultB_TempPole_2_L	-0.098171	0.151665	0.159906	0.01268
30	DefaultC_IPL_1_L	-0.077143	0.1495	0.160365	0.007001
31	DefaultC_PFCd_1_L	-0.021458	0.144369	0.160897	0.000402
32	DefaultC_PFCd_2_L	-0.029806	0.145017	0.16087	0.000739
33	DefaultC_PHC_1_L	-0.07078	0.150136	0.160352	0.007168
34	DefaultC_PHC_2_L	-0.0951	0.148263	0.160381	0.006807
35	DefaultC_RSC_1_L	-0.029289	0.144067	0.160892	0.000464
36	DefaultC_RSC_2_L	-0.056654	0.146576	0.160788	0.001754
37	DefaultC_RSC_3_L	-0.042373	0.145715	0.160828	0.001255
38	DefaultC_pCun_1_L	0.028001	0.140016	0.160895	0.000425
39	DefaultC_pCun_2_L	0.00298	0.141869	0.160929	3e-06
40	DefaultC_pCun_3_L	-0.00131	0.14212	0.160929	1e-06
41	Language_IFG_1_L	-0.077758	0.157065	0.159675	0.015529
42	Language_IFG_2_L	-0.165025	0.155172	0.159568	0.016844
43	Language_IPL_1_L	-0.174976	0.151198	0.160002	0.011495
44	Language_PFCd_1_L	0.053031	0.134446	0.160657	0.003377
45	Language_PFCd_2_L	0.020869	0.139413	0.160892	0.000465
46	Language_PFCl_1_L	-0.10341	0.156055	0.159634	0.016039
47	Language_Temp_1_L	-0.124029	0.153352	0.159777	0.014264
48	Language_Temp_2_L	-0.090285	0.152116	0.159859	0.013252
49	Language_Temp_3_L	-0.130854	0.15186	0.159862	0.013223
50	Language_TempPole_1_L	-0.091997	0.15178	0.159956	0.012066
51	ContA_Cingm_1_L	0.053651	0.132932	0.160543	0.004791
52	ContA_IPS_1_L	-0.098485	0.146588	0.160659	0.003361
53	ContA_IPS_2_L	-0.108076	0.147202	0.160597	0.004124
54	ContA_IPS_3_L	-0.068703	0.145148	0.160796	0.001654
55	ContA_Ins_1_L	-0.221485	0.149107	0.160367	0.006977
56	ContA_OFC_1_L	-0.371054	0.152177	0.159594	0.016521
57	ContA_PFCd_1_L	-0.047353	0.14805	0.160711	0.002708
58	ContA_PFCl_1_L	-0.100382	0.156351	0.159576	0.016749
59	ContA_PFCl_2_L	-0.09399	0.157939	0.159479	0.017949
60	ContA_PFCl_3_L	-0.12688	0.155589	0.159695	0.015279
61	ContA_PFCl_4_L	-0.087463	0.152825	0.16021	0.008922
62	ContA_Temp_1_L	-0.123357	0.156799	0.159323	0.019862
63	ContB_FPole_1_L	-0.052105	0.146699	0.16077	0.001977
64	ContB_IPL_1_L	-0.091591	0.149246	0.160356	0.007118
65	ContB_IPL_2_L	-0.094574	0.149902	0.16032	0.007561
66	ContB_IPS_1_L	-0.076303	0.148075	0.160549	0.004718
67	ContB_OFC_1_L	-0.144435	0.151846	0.160112	0.010126
68	ContB_OFC_2_L	-0.103952	0.147869	0.160645	0.003529
69	ContB_OFC_3_L	-0.08535	0.14604	0.160786	0.001787
70	ContB_PCC_1_L	0.005089	0.141845	0.160929	3e-06
71	ContB_PFCd_1_L	-0.126412	0.151725	0.160321	0.00755
72	ContB_PFCmp_1_L	0.037972	0.135587	0.160736	0.002403
73	ContB_Temp_1_L	-0.083599	0.15217	0.159992	0.011619
74	ContB_Temp_2_L	-0.116589	0.154498	0.15963	0.016085
75	ContC_Cingp_1_L	-0.046413	0.145193	0.160855	0.000928
76	ContC_Cingp_2_L	0.065484	0.132083	0.16049	0.005453
77	ContC_FPole_1_L	-0.034258	0.145439	0.160853	0.000949
78	ContC_Ins_1_L	-0.132217	0.150403	0.160305	0.007741
79	ContC_PFCm_1_L	0.005261	0.141456	0.160927	2.4e-05
80	ContC_PFCm_2_L	-0.009119	0.142707	0.160926	4.2e-05
81	ContC_PHC_1_L	-0.097247	0.146419	0.16072	0.002602
82	ContC_pCun_1_L	-0.006834	0.142609	0.160926	4.2e-05
83	ContC_pCun_2_L	-0.007702	0.1426	0.160926	3.8e-05
84	SalVenAttnA_FrMed_1_L	0.02826	0.138727	0.160869	0.000751
85	SalVenAttnA_FrMed_2_L	-0.00606	0.142547	0.160927	2.5e-05
86	SalVenAttnA_FrOper_1_L	-0.109083	0.152903	0.160045	0.010958
87	SalVenAttnA_IPL_1_L	-0.122497	0.150889	0.16015	0.009664
88	SalVenAttnA_Ins_1_L	-0.057436	0.151811	0.160417	0.006362
89	SalVenAttnA_Ins_2_L	-0.068838	0.153355	0.160057	0.010812
90	SalVenAttnA_Ins_3_L	-0.05534	0.152854	0.159999	0.011523
91	SalVenAttnA_PFCd_1_L	0.112646	0.129565	0.160229	0.008683
92	SalVenAttnA_SPL_1_L	-0.01291	0.142843	0.160924	7.3e-05
93	SalVenAttnA_SPL_2_L	0.071791	0.137531	0.160786	0.001787
94	SalVenAttnA_SPL_3_L	0.032379	0.139599	0.160887	0.000532
95	SalVenAttnB_IFG_1_L	-0.083148	0.156343	0.159669	0.0156
96	SalVenAttnB_IPL_1_L	-0.093093	0.148941	0.160412	0.006415
97	SalVenAttnB_IPL_2_L	-0.114676	0.149349	0.16028	0.008059
98	SalVenAttnB_Ins_1_L	-0.252712	0.157625	0.159199	0.021388
99	SalVenAttnB_Ins_2_L	-0.067524	0.153222	0.160217	0.008833
100	SalVenAttnB_OFC_1_L	-0.22543	0.151749	0.159933	0.012345
101	SalVenAttnB_OFC_2_L	-0.326721	0.149826	0.160129	0.009927
102	SalVenAttnB_PFCl_1_L	-0.057015	0.147805	0.160714	0.002677
103	SalVenAttnB_PFCl_2_L	0.011177	0.140812	0.160921	0.000108
104	SalVenAttnB_PFCl_3_L	-0.111736	0.155274	0.159812	0.013843
105	SalVenAttnB_PFCmp_1_L	0.007777	0.1412	0.160925	5e-05
106	SalVenAttnB_SPL_1_L	0.027424	0.139669	0.160893	0.000451
