roi_index	roi_name	slope	intercept	population_residual	r_squared
0	DefaultA_FPole_1_L	-0.083266	0.057359	0.134337	0.010571
1	DefaultA_IPL_1_L	0.219418	0.028074	0.129948	0.074167
2	DefaultA_IPL_2_L	0.216455	0.031729	0.131421	0.053061
3	DefaultA_PCC_1_L	-0.078429	0.053416	0.134812	0.00356
4	DefaultA_PFCd_1_L	-0.092913	0.061488	0.133897	0.017037
5	DefaultA_PFCm_1_L	-0.098384	0.056228	0.134514	0.007953
6	DefaultA_PFCm_2_L	-0.140636	0.054019	0.134682	0.005481
7	DefaultA_PFCm_3_L	-0.072869	0.052554	0.134854	0.002936
8	DefaultA_PFCm_4_L	0.118689	0.046845	0.135028	0.000369
9	DefaultA_PHC_1_L	0.271287	0.016505	0.124293	0.152992
10	DefaultA_Temp_1_L	0.388454	0.006528	0.109684	0.340393
11	DefaultA_Temp_2_L	0.438951	0.007659	0.114079	0.286476
12	DefaultA_TempPole_1_L	6.085796	0.026231	0.115967	0.26266
13	DefaultA_pCun_1_L	-0.00863	0.048714	0.135049	5.4e-05
14	DefaultB_FPole_1_L	-0.020488	0.050082	0.135019	0.0005
15	DefaultB_IPL_1_L	0.35172	0.029887	0.130555	0.065491
16	DefaultB_IPL_2_L	0.206902	0.026649	0.129651	0.078392
17	DefaultB_PCC_1_L	-0.244505	0.055096	0.134464	0.008693
18	DefaultB_PCC_2_L	-0.036587	0.050629	0.134993	0.000877
19	DefaultB_PFCd_1_L	-0.095422	0.065261	0.133467	0.023348
20	DefaultB_PFCd_2_L	-0.106191	0.065829	0.13325	0.026517
21	DefaultB_PFCd_3_L	-0.099333	0.062547	0.133705	0.019849
22	DefaultB_PFCd_4_L	-0.123611	0.061901	0.133731	0.019473
23	DefaultB_PFCl_1_L	0.003372	0.047468	0.13505	3.1e-05
24	DefaultB_PFCv_1_L	0.747895	0.034037	0.131395	0.053423
25	DefaultB_PFCv_2_L	1.148854	0.01903	0.120262	0.207041
26	DefaultB_Temp_1_L	0.411146	0.016619	0.122818	0.172969
27	DefaultB_Temp_2_L	0.40168	0.009433	0.117397	0.244364
28	DefaultB_TempPole_1_L	0.308776	0.00554	0.112187	0.309945
29	DefaultB_TempPole_2_L	0.483374	0.004705	0.104968	0.395897
30	DefaultC_IPL_1_L	0.25395	0.023724	0.127412	0.109952
31	DefaultC_PFCd_1_L	-0.096078	0.05833	0.134299	0.011132
32	DefaultC_PFCd_2_L	-0.096801	0.057591	0.134324	0.010757
33	DefaultC_PHC_1_L	0.322828	0.012557	0.120644	0.201995
34	DefaultC_PHC_2_L	0.45536	0.018989	0.119029	0.223221
35	DefaultC_RSC_1_L	0.156729	0.037179	0.133819	0.018184
36	DefaultC_RSC_2_L	0.095254	0.040644	0.13459	0.006832
37	DefaultC_RSC_3_L	0.160293	0.034489	0.133444	0.023685
38	DefaultC_pCun_1_L	0.09019	0.041448	0.134633	0.006196
39	DefaultC_pCun_2_L	0.088319	0.043483	0.134836	0.003202
40	DefaultC_pCun_3_L	-0.00464	0.048391	0.135051	1.7e-05
41	Language_IFG_1_L	0.077935	0.033412	0.133578	0.021721
42	Language_IFG_2_L	0.136781	0.037777	0.133999	0.015545
43	Language_IPL_1_L	0.382377	0.028856	0.12974	0.07712
44	Language_PFCd_1_L	-0.126403	0.065693	0.13326	0.026364
45	Language_PFCd_2_L	-0.106117	0.060944	0.133919	0.016714
46	Language_PFCl_1_L	0.047672	0.041719	0.134728	0.004795
47	Language_Temp_1_L	0.344881	0.018287	0.124651	0.148105
48	Language_Temp_2_L	0.32806	0.013333	0.118222	0.233713
49	Language_Temp_3_L	0.609614	0.006066	0.106957	0.372794
50	Language_TempPole_1_L	0.414345	0.006883	0.111113	0.323098
51	ContA_Cingm_1_L	-0.114028	0.066924	0.132998	0.030195
52	ContA_IPS_1_L	0.215688	0.038619	0.133565	0.021912
53	ContA_IPS_2_L	0.240146	0.037149	0.13321	0.027103
54	ContA_IPS_3_L	0.357429	0.031699	0.130605	0.064779
55	ContA_Ins_1_L	0.266615	0.040297	0.134157	0.013212
56	ContA_OFC_1_L	0.908418	0.025739	0.126373	0.124408
57	ContA_PFCd_1_L	-0.034345	0.052271	0.134919	0.001982
58	ContA_PFCl_1_L	0.087042	0.036215	0.133891	0.017126
59	ContA_PFCl_2_L	0.057548	0.038602	0.134425	0.009274
60	ContA_PFCl_3_L	0.070834	0.040874	0.134617	0.006434
61	ContA_PFCl_4_L	-0.006454	0.048799	0.135048	6.7e-05
62	ContA_Temp_1_L	0.26703	0.017339	0.126114	0.127993
63	ContB_FPole_1_L	-0.058842	0.053058	0.134823	0.003396
64	ContB_IPL_1_L	0.196321	0.033246	0.131988	0.044866
65	ContB_IPL_2_L	0.189295	0.032735	0.13218	0.042086
66	ContB_IPS_1_L	0.220999	0.03106	0.131326	0.054418
67	ContB_OFC_1_L	0.079494	0.042988	0.13478	0.004029
