roi_index	roi_name	slope	intercept	population_residual	r_squared
0	DefaultA_FPole_1_L	0.422463	0.029883	0.151256	0.178275
1	DefaultA_IPL_1_L	0.184889	0.060355	0.163955	0.034498
2	DefaultA_IPL_2_L	0.216088	0.060895	0.163943	0.034643
3	DefaultA_PCC_1_L	0.471483	0.044842	0.159672	0.084279
4	DefaultA_PFCd_1_L	0.44504	0.01275	0.143919	0.256058
5	DefaultA_PFCm_1_L	0.535305	0.032613	0.153452	0.15424
6	DefaultA_PFCm_2_L	0.861457	0.04054	0.155212	0.134728
7	DefaultA_PFCm_3_L	0.632557	0.037968	0.154295	0.144924
8	DefaultA_PFCm_4_L	3.520019	0.041814	0.148076	0.212457
9	DefaultA_PHC_1_L	0.078019	0.068108	0.166165	0.008289
10	DefaultA_Temp_1_L	0.26158	0.049225	0.158198	0.101116
11	DefaultA_Temp_2_L	0.277243	0.051673	0.160491	0.074866
12	DefaultA_TempPole_1_L	5.409266	0.057795	0.155103	0.135939
13	DefaultA_pCun_1_L	0.243475	0.058106	0.164514	0.027899
14	DefaultB_FPole_1_L	0.468852	0.030389	0.151885	0.171421
15	DefaultB_IPL_1_L	0.427327	0.055125	0.161488	0.063331
16	DefaultB_IPL_2_L	0.233776	0.05301	0.161296	0.065562
17	DefaultB_PCC_1_L	0.933988	0.050216	0.159776	0.083095
18	DefaultB_PCC_2_L	0.322222	0.054355	0.163097	0.044573
19	DefaultB_PFCd_1_L	0.339542	0.015891	0.149833	0.193663
20	DefaultB_PFCd_2_L	0.35648	0.017453	0.149637	0.195763
21	DefaultB_PFCd_3_L	0.380648	0.021575	0.150086	0.190939
22	DefaultB_PFCd_4_L	0.448814	0.026843	0.152182	0.168179
23	DefaultB_PFCl_1_L	0.427908	0.00487	0.137068	0.325201
24	DefaultB_PFCv_1_L	2.99812	0.021054	0.110378	0.562409
25	DefaultB_PFCv_2_L	2.151015	0.022865	0.120846	0.475469
26	DefaultB_Temp_1_L	0.380303	0.048115	0.158564	0.096949
27	DefaultB_Temp_2_L	0.296908	0.048641	0.159395	0.087464
28	DefaultB_TempPole_1_L	0.209295	0.048371	0.158885	0.093287
29	DefaultB_TempPole_2_L	0.312506	0.049162	0.157555	0.108403
30	DefaultC_IPL_1_L	0.151175	0.062703	0.164715	0.025525
31	DefaultC_PFCd_1_L	0.569422	0.016177	0.14391	0.256153
32	DefaultC_PFCd_2_L	0.620679	0.015924	0.140627	0.289704
33	DefaultC_PHC_1_L	0.112234	0.064842	0.165519	0.015994
34	DefaultC_PHC_2_L	0.155954	0.067228	0.165421	0.017152
35	DefaultC_RSC_1_L	0.06927	0.072378	0.166664	0.002327
36	DefaultC_RSC_2_L	0.219722	0.060121	0.16486	0.023814
