block	p_value	roi_name
5	0.009901	Language_PFCl_1_R
5	0.009901	ContA_PFCd_1_R
5	0.009901	ContA_PFCl_1_R
5	0.009901	ContB_PFCd_1_R
5	0.009901	ContB_PFCl_2_R
5	0.009901	SalVenAttnA_FrOper_1_R
5	0.009901	SalVenAttnA_FrOper_2_R
5	0.009901	SalVenAttnA_Ins_1_R
5	0.009901	SalVenAttnA_Ins_2_R
5	0.009901	SalVenAttnB_PFCl_1_R
5	0.009901	DorsAttnA_PrCd_1_R
5	0.009901	DorsAttnA_PrCv_1_R
5	0.009901	DorsAttnB_PrCv_1_R
5	0.009901	SomMotB_Ins_1_R
5	0.009901	SomMotB_3_R
5	0.009901	SomMotB_5_R
5	0.009901	SomMotB_7_R
5	0.009901	VisualA_PrC_1_R
12	0.009901	DefaultA_PFCd_1_R
12	0.009901	DefaultB_PFCd_1_R
12	0.009901	DefaultC_PFCd_1_R
12	0.009901	Language_IFG_1_R
12	0.009901	Language_PFCd_1_R
12	0.009901	Language_PFCl_2_R
12	0.009901	ContA_Cingm_1_R
12	0.009901	ContA_PFCl_2_R
12	0.009901	ContA_PFCl_3_R
12	0.009901	ContB_FPole_1_R
12	0.009901	ContB_IFG_1_R
12	0.009901	ContB_OFC_1_R
12	0.009901	ContC_Ins_1_R
12	0.009901	ContC_PFCl_1_R
12	0.009901	ContC_PFCl_2_R
12	0.009901	SalVenAttnB_IFG_1_R
12	0.009901	SalVenAttnB_Ins_1_R
12	0.009901	SalVenAttnB_Ins_2_R
12	0.009901	SalVenAttnB_PFCl_2_R
12	0.009901	SalVenAttnB_PFCl_3_R
