roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
DefaultA_FPole_1_L	689.328108	694024.872143	172886.839692	521138.032451	1.7861
DefaultA_IPL_1_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultA_IPL_2_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultA_PCC_1_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
DefaultA_PFCd_1_L	1542.035039	694024.872143	549091.135867	144933.736276	0.496732
DefaultA_PFCm_1_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
DefaultA_PFCm_2_L	1840.349346	159120.017505	680703.909054	-521583.891549	-1.787628
DefaultA_PFCm_3_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
DefaultA_PFCm_4_L	506.569851	79319.207853	92256.040357	-12936.832504	-0.044338
DefaultA_PHC_1_L	1075.179174	58519.104991	343119.804191	-284600.6992	-0.975414
DefaultA_Temp_1_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultA_Temp_2_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultA_TempPole_1_L	201.906604	79319.207853	-42157.810688	121477.018541	0.416339
DefaultA_pCun_1_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
DefaultB_FPole_1_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
DefaultB_IPL_1_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultB_IPL_2_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultB_PCC_1_L	201.906604	58519.104991	-42157.810688	100676.915679	0.345051
DefaultB_PCC_2_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
DefaultB_PFCd_1_L	1542.035039	172670.22492	549091.135867	-376420.910947	-1.29011
DefaultB_PFCd_2_L	1542.035039	694024.872143	549091.135867	144933.736276	0.496732
DefaultB_PFCd_3_L	1542.035039	694024.872143	549091.135867	144933.736276	0.496732
DefaultB_PFCd_4_L	689.328108	694024.872143	172886.839692	521138.032451	1.7861
DefaultB_PFCl_1_L	1004.112451	172670.22492	311765.999577	-139095.774657	-0.476724
DefaultB_PFCv_1_L	201.906604	159120.017505	-42157.810688	201277.828193	0.689841
DefaultB_PFCv_2_L	201.906604	79319.207853	-42157.810688	121477.018541	0.416339
DefaultB_Temp_1_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultB_Temp_2_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultB_TempPole_1_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultB_TempPole_2_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultC_IPL_1_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
DefaultC_PFCd_1_L	1542.035039	172670.22492	549091.135867	-376420.910947	-1.29011
DefaultC_PFCd_2_L	1542.035039	172670.22492	549091.135867	-376420.910947	-1.29011
DefaultC_PHC_1_L	1075.179174	58519.104991	343119.804191	-284600.6992	-0.975414
DefaultC_PHC_2_L	201.906604	159120.017505	-42157.810688	201277.828193	0.689841
DefaultC_RSC_1_L	689.328108	79319.207853	172886.839692	-93567.631839	-0.320685
DefaultC_RSC_2_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
DefaultC_RSC_3_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
DefaultC_pCun_1_L	976.766392	79319.207853	299701.2391	-220382.031247	-0.755317
DefaultC_pCun_2_L	201.906604	466818.007784	-42157.810688	508975.818472	1.744416
DefaultC_pCun_3_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
Language_IFG_1_L	1004.112451	172670.22492	311765.999577	-139095.774657	-0.476724
Language_IFG_2_L	1004.112451	172670.22492	311765.999577	-139095.774657	-0.476724
Language_IPL_1_L	1004.112451	0.0	311765.999577	-311765.999577	-1.068518
Language_PFCd_1_L	1542.035039	172670.22492	549091.135867	-376420.910947	-1.29011
Language_PFCd_2_L	1542.035039	694024.872143	549091.135867	144933.736276	0.496732
Language_PFCl_1_L	1004.112451	172670.22492	311765.999577	-139095.774657	-0.476724
Language_Temp_1_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
Language_Temp_2_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
Language_Temp_3_L	1004.112451	0.0	311765.999577	-311765.999577	-1.068518
Language_TempPole_1_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
ContA_Cingm_1_L	1542.035039	694024.872143	549091.135867	144933.736276	0.496732
ContA_IPS_1_L	201.906604	79319.207853	-42157.810688	121477.018541	0.416339
ContA_IPS_2_L	201.906604	79319.207853	-42157.810688	121477.018541	0.416339
ContA_IPS_3_L	201.906604	79319.207853	-42157.810688	121477.018541	0.416339
ContA_Ins_1_L	201.906604	0.0	-42157.810688	42157.810688	0.144488
ContA_OFC_1_L	201.906604	79319.207853	-42157.810688	121477.018541	0.416339
ContA_PFCd_1_L	1004.112451	172670.22492	311765.999577	-139095.774657	-0.476724
ContA_PFCl_1_L	1004.112451	172670.22492	311765.999577	-139095.774657	-0.476724
ContA_PFCl_2_L	1004.112451	172670.22492	311765.999577	-139095.774657	-0.476724
ContA_PFCl_3_L	1004.112451	172670.22492	311765.999577	-139095.774657	-0.476724
ContA_PFCl_4_L	1004.112451	172670.22492	311765.999577	-139095.774657	-0.476724
ContA_Temp_1_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
ContB_FPole_1_L	689.328108	159120.017505	172886.839692	-13766.822187	-0.047183
ContB_IPL_1_L	1004.112451	0.0	311765.999577	-311765.999577	-1.068518
ContB_IPL_2_L	482.0515	0.0	81438.831482	-81438.831482	-0.279116
