roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
DefaultA_FPole_1_L	2123.997392	32394.781919	269014.501589	-236619.71967	-2.676835
DefaultA_IPL_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultA_IPL_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultA_PCC_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultA_PFCd_1_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
DefaultA_PFCm_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultA_PFCm_2_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultA_PFCm_3_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultA_PFCm_4_L	305.978228	0.0	34886.606107	-34886.606107	-0.394666
DefaultA_PHC_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
DefaultA_Temp_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultA_Temp_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultA_TempPole_1_L	305.978228	77850.945006	34886.606107	42964.338899	0.486048
DefaultA_pCun_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultB_FPole_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultB_IPL_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultB_IPL_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultB_PCC_1_L	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
DefaultB_PCC_2_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultB_PFCd_1_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
DefaultB_PFCd_2_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
DefaultB_PFCd_3_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
DefaultB_PFCd_4_L	2123.997392	32394.781919	269014.501589	-236619.71967	-2.676835
DefaultB_PFCl_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
DefaultB_PFCv_1_L	305.978228	54247.411	34886.606107	19360.804893	0.219025
DefaultB_PFCv_2_L	305.978228	77850.945006	34886.606107	42964.338899	0.486048
DefaultB_Temp_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultB_Temp_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultB_TempPole_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultB_TempPole_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultC_IPL_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
DefaultC_PFCd_1_L	1130.581804	196297.699455	141080.591121	55217.108334	0.624661
DefaultC_PFCd_2_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
DefaultC_PHC_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
DefaultC_PHC_2_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
DefaultC_RSC_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultC_RSC_2_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultC_RSC_3_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultC_pCun_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
DefaultC_pCun_2_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultC_pCun_3_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
Language_IFG_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
Language_IFG_2_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
Language_IPL_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Language_PFCd_1_L	1130.581804	196297.699455	141080.591121	55217.108334	0.624661
Language_PFCd_2_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
Language_PFCl_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
Language_Temp_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Language_Temp_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Language_Temp_3_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
Language_TempPole_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContA_Cingm_1_L	2123.997392	77850.945006	269014.501589	-191163.556583	-2.162598
ContA_IPS_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContA_IPS_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContA_IPS_3_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContA_Ins_1_L	667.434661	32394.781919	81435.639056	-49040.857137	-0.55479
ContA_OFC_1_L	507.847444	66878.704307	60883.69989	5995.004417	0.06782
ContA_PFCd_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
ContA_PFCl_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
ContA_PFCl_2_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
ContA_PFCl_3_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
ContA_PFCl_4_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
ContA_Temp_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContB_FPole_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContB_IPL_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContB_IPL_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContB_IPS_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContB_OFC_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
ContB_OFC_2_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContB_OFC_3_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContB_PCC_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContB_PFCd_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
ContB_PFCmp_1_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
ContB_Temp_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContB_Temp_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
ContC_Cingp_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_Cingp_2_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
ContC_FPole_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_Ins_1_L	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
ContC_PFCm_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_PFCm_2_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_PHC_1_L	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
ContC_pCun_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
ContC_pCun_2_L	641.873847	77850.945006	78143.869801	-292.924795	-0.003314
SalVenAttnA_FrMed_1_L	2123.997392	196297.699455	269014.501589	-72716.802134	-0.822632
SalVenAttnA_FrMed_2_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
SalVenAttnA_FrOper_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnA_IPL_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
SalVenAttnA_Ins_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnA_Ins_2_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnA_Ins_3_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnA_PFCd_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
SalVenAttnA_SPL_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnA_SPL_2_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnA_SPL_3_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SalVenAttnB_IFG_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnB_IPL_1_L	1130.581804	77850.945006	141080.591121	-63229.646115	-0.715305
SalVenAttnB_IPL_2_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
SalVenAttnB_Ins_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnB_Ins_2_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SalVenAttnB_OFC_1_L	641.873847	38030.990319	78143.869801	-40112.879482	-0.45379
SalVenAttnB_OFC_2_L	507.847444	66878.704307	60883.69989	5995.004417	0.06782
SalVenAttnB_PFCl_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
