roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
DefaultA_FPole_1_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
DefaultA_IPL_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultA_IPL_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultA_PCC_1_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
DefaultA_PFCd_1_L	2224.916667	3721194.657877	6832176.215253	-3110981.557376	-0.875679
DefaultA_PFCm_1_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
DefaultA_PFCm_2_L	651.353689	2774243.592502	3453373.708137	-679130.115635	-0.191162
DefaultA_PFCm_3_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
DefaultA_PFCm_4_L	679.099427	2774243.592502	3512950.204551	-738706.612049	-0.207931
DefaultA_PHC_1_L	1587.416802	1428327.355611	5463317.026099	-4034989.670488	-1.135769
DefaultA_Temp_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultA_Temp_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultA_TempPole_1_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
DefaultA_pCun_1_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
DefaultB_FPole_1_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
DefaultB_IPL_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultB_IPL_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultB_PCC_1_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
DefaultB_PCC_2_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
DefaultB_PFCd_1_L	2224.916667	3721194.657877	6832176.215253	-3110981.557376	-0.875679
DefaultB_PFCd_2_L	2224.916667	3721194.657877	6832176.215253	-3110981.557376	-0.875679
DefaultB_PFCd_3_L	2224.916667	3721194.657877	6832176.215253	-3110981.557376	-0.875679
DefaultB_PFCd_4_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
DefaultB_PFCl_1_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
DefaultB_PFCv_1_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
DefaultB_PFCv_2_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
DefaultB_Temp_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultB_Temp_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultB_TempPole_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultB_TempPole_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultC_IPL_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DefaultC_PFCd_1_L	2224.916667	2403256.148591	6832176.215253	-4428920.066662	-1.246652
DefaultC_PFCd_2_L	2224.916667	3721194.657877	6832176.215253	-3110981.557376	-0.875679
DefaultC_PHC_1_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
DefaultC_PHC_2_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
DefaultC_RSC_1_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
DefaultC_RSC_2_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
DefaultC_RSC_3_L	651.353689	2774243.592502	3453373.708137	-679130.115635	-0.191162
DefaultC_pCun_1_L	689.205819	9264665.683491	3534650.958257	5730014.725234	1.612884
DefaultC_pCun_2_L	651.353689	1428327.355611	3453373.708137	-2025046.352526	-0.57001
DefaultC_pCun_3_L	2099.90204	1428327.355611	6563740.988294	-5135413.632683	-1.445516
Language_IFG_1_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
Language_IFG_2_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
Language_IPL_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
Language_PFCd_1_L	2224.916667	2403256.148591	6832176.215253	-4428920.066662	-1.246652
Language_PFCd_2_L	2224.916667	3721194.657877	6832176.215253	-3110981.557376	-0.875679
Language_PFCl_1_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
Language_Temp_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
Language_Temp_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
Language_Temp_3_L	527.357266	1428327.355611	3187124.799918	-1758797.444307	-0.495066
Language_TempPole_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
ContA_Cingm_1_L	2224.916667	3721194.657877	6832176.215253	-3110981.557376	-0.875679
ContA_IPS_1_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
ContA_IPS_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
ContA_IPS_3_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
