roi_name	Foreperiod_Long_tau_p_raw	Foreperiod_Long_tau_p_fdr	GoNoGo_tau_p_raw	GoNoGo_tau_p_fdr	SATO_Accuracy_tau_p_raw	SATO_Accuracy_tau_p_fdr
Aud_Ins_1_L	0.722772	0.750932	0.722772	0.92766	0.861386	0.954918
Aud_Ins_1_R	0.792079	0.794064	0.633663	0.92766	0.138614	0.571604
Aud_ParOcc_1_L	0.445545	0.743336	0.712871	0.92766	0.50495	0.954918
Aud_ParOcc_1_R	0.405941	0.743336	0.168317	0.803157	0.029703	0.282885
Aud_ParOper_1_R	0.326733	0.743336	0.128713	0.803157	0.059406	0.308602
Aud_ST_1_L	0.673267	0.750159	0.306931	0.806747	0.762376	0.954918
Aud_ST_1_R	0.29703	0.743336	0.128713	0.803157	0.039604	0.282885
Aud_ST_2_L	0.435644	0.743336	0.663366	0.92766	0.663366	0.954918
Aud_ST_2_R	0.633663	0.748331	0.346535	0.824129	0.049505	0.291206
Aud_ST_3_L	0.435644	0.743336	0.653465	0.92766	0.673267	0.954918
Aud_ST_3_R	0.653465	0.749566	0.237624	0.803157	0.029703	0.282885
Aud_ST_4_L	0.60396	0.743336	0.693069	0.92766	0.623762	0.954918
Aud_ST_4_R	0.366337	0.743336	0.128713	0.803157	0.069307	0.334009
Aud_ST_5_L	0.415842	0.743336	0.643564	0.92766	0.643564	0.954918
Aud_ST_5_R	0.633663	0.748331	0.29703	0.806747	0.039604	0.282885
Aud_ST_6_L	0.415842	0.743336	0.673267	0.92766	0.673267	0.954918
Aud_ST_7_L	0.514851	0.743336	0.663366	0.92766	0.693069	0.954918
Aud_TempPole_1_L	0.168317	0.743336	0.435644	0.854203	0.732673	0.954918
Aud_Temp_1_R	0.336634	0.743336	0.049505	0.803157	0.039604	0.282885
ContA_Cingm_1_L	0.346535	0.743336	0.960396	0.99258	0.70297	0.954918
ContA_Cingm_1_R	0.465347	0.743336	0.267327	0.803157	0.336634	0.948264
ContA_IPS_1_L	0.475248	0.743336	0.653465	0.92766	0.079208	0.344382
ContA_IPS_1_R	0.287129	0.743336	0.069307	0.803157	0.019802	0.282885
ContA_IPS_2_L	0.524752	0.743336	0.653465	0.92766	0.742574	0.954918
ContA_IPS_2_R	0.306931	0.743336	0.029703	0.803157	0.009901	0.282885
ContA_IPS_3_L	0.50495	0.743336	0.643564	0.92766	0.643564	0.954918
ContA_IPS_3_R	0.39604	0.743336	0.09901	0.803157	0.039604	0.282885
ContA_IPS_4_R	0.29703	0.743336	0.257426	0.803157	0.019802	0.282885
ContA_Ins_1_L	0.663366	0.749566	0.49505	0.916758	0.712871	0.954918
ContA_OFC_1_L	0.49505	0.743336	0.277228	0.803157	0.316832	0.948264
ContA_OFC_1_R	0.60396	0.743336	0.306931	0.806747	0.712871	0.954918
ContA_PFCd_1_L	0.60396	0.743336	0.990099	0.99258	0.891089	0.954918
ContA_PFCd_1_R	0.148515	0.743336	0.09901	0.803157	0.39604	0.954312
ContA_PFCl_1_L	0.574257	0.743336	0.990099	0.99258	0.930693	0.954918
ContA_PFCl_1_R	0.168317	0.743336	0.089109	0.803157	0.415842	0.954918
ContA_PFCl_2_L	0.564356	0.743336	0.990099	0.99258	0.940594	0.954918
ContA_PFCl_2_R	0.108911	0.743336	0.277228	0.803157	0.39604	0.954312
ContA_PFCl_3_L	0.564356	0.743336	0.990099	0.99258	0.920792	0.954918
ContA_PFCl_3_R	0.118812	0.743336	0.277228	0.803157	0.376238	0.954312
ContA_PFCl_4_L	0.613861	0.746336	0.990099	0.99258	0.663366	0.954918
ContA_PFCmp_1_R	0.39604	0.743336	0.821782	0.952791	0.811881	0.954918
ContA_SPL_1_R	0.148515	0.743336	0.287129	0.803157	0.376238	0.954312
ContA_Temp_1_L	0.485149	0.743336	0.782178	0.931165	0.712871	0.954918
ContA_Temp_1_R	0.435644	0.743336	0.207921	0.803157	0.039604	0.282885
ContB_FPole_1_L	0.564356	0.743336	0.821782	0.952791	0.762376	0.954918
ContB_FPole_1_R	0.138614	0.743336	0.326733	0.806747	0.376238	0.954312
ContB_IFG_1_R	0.108911	0.743336	0.267327	0.803157	0.366337	0.954312
ContB_IPL_1_L	0.455446	0.743336	0.643564	0.92766	0.683168	0.954918
ContB_IPL_1_R	0.306931	0.743336	0.049505	0.803157	0.009901	0.282885
ContB_IPL_2_L	0.405941	0.743336	0.653465	0.92766	0.673267	0.954918
ContB_IPL_2_R	0.405941	0.743336	0.089109	0.803157	0.019802	0.282885
ContB_IPS_1_L	0.514851	0.743336	0.663366	0.92766	0.306931	0.948264
ContB_IPS_1_R	0.356436	0.743336	0.039604	0.803157	0.019802	0.282885
ContB_OFC_1_L	0.663366	0.749566	0.980198	0.99258	0.712871	0.954918
ContB_OFC_1_R	0.09901	0.743336	0.29703	0.806747	0.356436	0.954312
ContB_OFC_2_L	0.475248	0.743336	0.594059	0.92766	0.613861	0.954918
ContB_OFC_2_R	0.594059	0.743336	0.257426	0.803157	0.049505	0.291206
ContB_OFC_3_L	0.50495	0.743336	0.60396	0.92766	0.643564	0.954918
ContB_OFC_3_R	0.346535	0.743336	0.544554	0.92766	0.673267	0.954918
ContB_PCC_1_L	0.475248	0.743336	0.663366	0.92766	0.653465	0.954918
ContB_PCC_1_R	0.326733	0.743336	0.485149	0.90682	0.316832	0.948264
ContB_PFCd_1_L	0.594059	0.743336	0.990099	0.99258	0.940594	0.954918
ContB_PFCd_1_R	0.19802	0.743336	0.089109	0.803157	0.435644	0.954918
ContB_PFCl_2_R	0.19802	0.743336	0.089109	0.803157	0.435644	0.954918
ContB_PFCmp_1_L	0.39604	0.743336	0.861386	0.981637	0.871287	0.954918
ContB_PFCmp_1_R	0.376238	0.743336	0.752475	0.92766	0.732673	0.954918
ContB_Temp_1_L	0.465347	0.743336	0.762376	0.92766	0.70297	0.954918
ContB_Temp_1_R	0.376238	0.743336	0.207921	0.803157	0.039604	0.282885
ContB_Temp_2_L	0.455446	0.743336	0.782178	0.931165	0.732673	0.954918
ContC_Cingp_1_L	0.613861	0.746336	0.643564	0.92766	0.435644	0.954918
ContC_Cingp_1_R	0.792079	0.794064	0.584158	0.92766	0.851485	0.954918
ContC_Cingp_2_L	0.821782	0.821782	0.623762	0.92766	0.871287	0.954918
ContC_Cingp_2_R	0.138614	0.743336	0.277228	0.803157	0.346535	0.954312
ContC_FPole_1_L	0.207921	0.743336	0.881188	0.984568	0.792079	0.954918
ContC_IPL_1_R	0.326733	0.743336	0.039604	0.803157	0.009901	0.282885
ContC_Ins_1_L	0.455446	0.743336	0.693069	0.92766	0.643564	0.954918
ContC_Ins_1_R	0.069307	0.743336	0.19802	0.803157	0.980198	0.985124
ContC_OFC_1_R	0.712871	0.750932	0.415842	0.853008	0.722772	0.954918
ContC_OFC_2_R	0.544554	0.743336	0.306931	0.806747	0.60396	0.954918
