roi_name	perm_00000	perm_00001	perm_00002	perm_00003	perm_00004	perm_00005	perm_00006	perm_00007	perm_00008	perm_00009	perm_00010	perm_00011	perm_00012	perm_00013	perm_00014	perm_00015	perm_00016	perm_00017	perm_00018	perm_00019	perm_00020	perm_00021	perm_00022	perm_00023	perm_00024	perm_00025	perm_00026	perm_00027	perm_00028	perm_00029	perm_00030	perm_00031	perm_00032	perm_00033	perm_00034	perm_00035	perm_00036	perm_00037	perm_00038	perm_00039	perm_00040	perm_00041	perm_00042	perm_00043	perm_00044	perm_00045	perm_00046	perm_00047	perm_00048	perm_00049	perm_00050	perm_00051	perm_00052	perm_00053	perm_00054	perm_00055	perm_00056	perm_00057	perm_00058	perm_00059	perm_00060	perm_00061	perm_00062	perm_00063	perm_00064	perm_00065	perm_00066	perm_00067	perm_00068	perm_00069	perm_00070	perm_00071	perm_00072	perm_00073	perm_00074	perm_00075	perm_00076	perm_00077	perm_00078	perm_00079	perm_00080	perm_00081	perm_00082	perm_00083	perm_00084	perm_00085	perm_00086	perm_00087	perm_00088	perm_00089	perm_00090	perm_00091	perm_00092	perm_00093	perm_00094	perm_00095	perm_00096	perm_00097	perm_00098	perm_00099
DefaultA_FPole_1_L	2.09283	-1.018083	-1.240739	0.161311	-0.971826	0.084208	-0.946734	-1.319419	-0.752784	0.527377	-1.188543	-0.562111	1.608662	-0.507278	-0.932819	-1.124217	1.140217	0.019427	-0.464165	-0.416882	-0.524998	-0.180744	-0.720649	-0.257786	-0.165487	-0.113482	-0.828203	-0.932653	0.022253	0.629147	-1.240794	-0.82572	-1.10312	-0.214945	0.145757	-1.220232	-1.19973	1.607039	0.437495	-0.225311	1.440402	2.161476	-0.689948	-0.701138	-0.86623	-1.206522	0.290938	-0.074745	-0.568913	-0.109085	0.93096	0.080897	-0.335021	-0.855951	-0.316546	1.937725	-0.612584	-1.316109	-0.330184	-0.550756	0.26611	-1.045208	-0.909531	1.401974	1.233734	-0.840688	-1.00544	-0.577914	-0.818361	-0.505128	0.165619	-0.799004	-0.804606	0.26695	-1.331433	-0.95518	0.351649	-0.633209	-0.356747	0.473906	-0.619959	0.879261	0.051639	0.466917	-0.556901	1.442972	-1.110832	-0.577054	-1.009687	-0.64548	-1.431625	-0.4112	-1.174881	-1.127269	1.68775	0.558169	-0.015112	-0.69096	-0.771698	-0.368066
DefaultA_IPL_1_L	-0.658093	-1.434433	-0.688	0.56902	-0.885008	-1.263605	2.30581	-1.823938	-1.086285	-1.215881	-1.170663	-0.993352	-1.030293	-0.15717	-0.347383	-0.505996	-1.341257	-0.757789	-1.27563	-1.102465	-0.524998	-1.166393	-0.720847	-1.333064	-1.060233	-0.967967	-1.064581	-1.083835	-1.144606	-0.67781	-1.574138	0.273205	-1.298783	0.406088	-0.273266	-0.709334	2.034129	-1.047805	-0.852457	-0.940772	-1.028698	-0.477475	0.444903	-0.715361	0.326492	-1.525012	-1.015492	-1.762226	-1.147918	-0.990133	-1.371799	0.303599	-1.577799	-0.875107	-0.140019	-0.558055	0.595082	-2.26899	-0.895391	-0.004994	-0.945942	-1.093866	1.686491	-1.154411	-0.997804	-1.026552	1.59047	-1.042446	-1.035147	-0.881046	-1.537306	-0.890505	-1.167866	-1.135428	-0.936137	-1.131008	0.599437	0.136044	-1.08436	-0.026758	-1.33193	-1.045262	-0.542079	-1.23929	-1.134506	-0.655779	-1.110832	-0.577054	-1.302434	-0.7726	-1.502734	-1.183247	-1.155814	-0.842548	-0.613224	-1.17301	0.28426	-1.056421	-0.158118	-0.367799
DefaultA_IPL_2_L	-0.658093	-1.434433	-0.688	0.56902	-0.885008	-1.263605	-0.348464	-1.823938	-1.086285	-1.215881	-1.170663	-0.993352	-1.081109	-0.15717	-0.347383	1.086592	-1.341257	-0.757789	-1.27563	-1.102465	-0.524998	-1.166393	-0.613424	-1.333064	-0.956948	0.182156	-1.064581	-1.083835	-1.144606	-0.67781	-1.574138	0.094517	-1.298783	2.260072	-0.273266	-0.709334	-1.19973	-0.551104	0.731135	-0.940772	-1.028698	-0.477475	0.444903	-0.715361	1.562674	-1.525012	-1.015492	-1.762226	-1.147918	-0.990133	-1.371799	0.303599	-1.577799	-0.87381	-0.140019	-0.558055	1.905802	-2.26899	-0.895391	-1.250662	-0.945942	-1.093866	1.686491	-1.154411	-0.997804	-1.026552	-0.3665	-0.876675	-1.035147	-1.124707	-1.537306	-0.890505	-1.167866	-0.992019	-0.936137	-1.131008	0.599437	0.136044	-1.544735	0.831346	-1.33193	-0.284037	-0.542079	-1.23929	-1.134506	-0.655779	-0.973136	-1.262356	-1.261988	-0.570055	-1.502734	-0.058133	-1.155814	-0.842548	-0.613224	-1.060135	-1.652841	-1.341163	-0.158118	-1.14253
DefaultA_PCC_1_L	-0.256047	0.274923	-1.240739	0.161311	1.181417	0.662388	-0.946734	-1.322163	-0.752784	0.527377	-1.188543	-0.562111	-0.603465	-0.51949	0.794494	0.262201	-1.097673	-0.796063	-0.316166	-1.151069	2.301362	-1.014071	-0.632959	-0.257786	-1.060233	-0.113482	-0.208587	-0.616506	0.022253	-0.220512	-0.40613	-0.82572	-1.10312	-0.214945	0.145757	-1.220232	-1.233218	-0.395981	0.437495	-0.547852	-0.702884	2.161476	-0.689948	-0.701138	-0.86623	-1.206522	0.290938	-0.074745	-0.902633	-0.109085	0.001568	1.429888	-0.335021	-0.855951	-0.67813	1.121047	-0.612584	-1.316109	-0.730133	-0.550756	-0.516637	-1.045208	-0.710927	1.401974	-0.997804	-0.512763	-1.673618	-0.454745	-0.669363	-0.505128	-0.766308	-0.799004	2.687354	0.697544	-1.331433	-0.95518	-0.71032	-0.633209	-0.356747	0.473906	-0.619959	0.436769	0.051639	0.466917	-0.856147	-0.655779	-0.652822	-0.577054	-1.009687	-0.625932	-1.431625	-0.4112	-1.174881	-1.127269	-0.291506	-0.640332	-0.015112	-0.69096	-0.19004	-0.368066
DefaultA_PFCd_1_L	2.09283	0.112273	0.565477	-0.103305	-0.971826	0.662388	-0.892475	0.100671	-0.752784	0.391744	-0.659907	-0.214028	0.425607	1.096039	0.406844	-0.262312	-0.577424	1.013102	-1.003479	1.572755	1.137015	-0.359337	0.157489	2.000957	0.244466	-0.113482	-0.208587	-0.133468	0.589039	2.109257	-0.117013	0.751771	-1.10312	0.619869	0.145757	-0.788611	0.158788	1.790992	1.717044	1.356448	1.440402	2.554493	0.733174	-0.76428	-0.86623	0.109068	0.556249	0.863154	-0.902633	-0.244549	0.93096	1.429888	-0.051059	-0.171361	1.44912	1.121047	0.297533	-1.28541	-0.266443	-0.004994	2.646767	-1.045208	-0.754416	-0.418067	-0.997804	-0.94571	-0.692457	-0.454745	-0.593927	0.447019	-0.179444	-0.890505	2.687354	0.697544	0.46516	-0.95518	-0.169974	1.097918	0.376325	0.724923	0.51059	0.879261	2.352235	0.466917	-0.556901	1.442972	-1.110832	-0.577054	-1.302434	-0.625932	-0.964407	0.295586	-1.174881	0.54188	1.68775	2.02351	0.28426	-0.431726	1.579906	1.268895
DefaultA_PFCm_1_L	2.09283	0.274923	-1.28368	0.161311	-0.990831	-1.263605	-0.946734	-1.322163	-0.752784	0.527377	-1.188543	-0.689786	-0.603465	-0.194189	-0.481407	-1.124217	-1.097673	0.019427	-0.787842	-0.416882	-0.524998	-0.180744	-0.720649	-0.257786	-1.002105	-0.113482	-0.828203	-1.192134	0.022253	0.629147	-0.40613	-0.82572	-1.10312	-0.214945	-0.888903	-1.220232	-0.851127	1.607039	0.437495	-0.225311	-0.702884	2.161476	-0.689948	-0.701138	-0.853729	-1.206522	0.556249	-0.074745	-1.050126	-0.109085	-0.087805	0.080897	-0.335021	-0.855951	-0.236084	-0.64653	-0.71434	-1.316109	-0.330184	-0.550756	0.26611	-1.045208	-0.909531	-0.59876	-0.520799	-0.840688	-1.00544	-0.577914	-0.928633	-0.505128	-1.378112	-0.558459	-0.804606	0.26695	-1.331433	-0.98036	-0.71032	-0.633209	-0.356747	0.473906	-1.019289	0.879261	0.051639	0.466917	-0.556901	1.442972	-1.322237	-0.577054	-1.009687	-0.625932	-0.882175	-0.4112	-1.174881	-1.127269	1.68775	-0.640332	-0.015112	-0.69096	-0.19004	-0.368066
DefaultA_PFCm_2_L	-0.471983	0.217532	-1.240739	0.161311	-0.990831	-1.263605	-0.946734	-0.915388	-0.752784	0.527377	-1.188543	-0.689786	-0.603465	1.096039	-1.051533	-1.124217	-0.669642	0.019427	-0.787842	-1.151069	-0.524998	-0.693466	-0.470518	-0.257786	-0.750017	-0.113482	-0.408447	1.11979	0.022253	0.629147	-1.282276	-0.82572	-1.10312	-0.214945	-0.888903	-0.921751	-1.19973	1.607039	0.437495	-0.940772	-0.702884	-0.15702	-1.070484	-0.701138	-0.162408	-0.61156	0.290938	-0.074745	-0.902633	-0.109085	-0.087805	0.080897	-0.375598	-0.855951	-0.316546	-0.64653	-0.667563	-1.316109	-0.330184	-0.550756	-0.792327	-1.045208	-0.909531	-0.59876	-1.522078	-0.840688	-0.875436	-0.639766	1.058958	0.799078	0.165619	0.406032	-0.804606	0.26695	-1.331433	-0.98036	-0.71032	-0.633209	-0.356747	0.473906	-0.471545	0.879261	-0.51396	0.113424	-0.556901	-0.655779	-1.322237	-1.034724	-0.548525	-0.7726	-1.431625	-0.969884	-1.174881	-1.002594	-0.291506	-1.120246	-0.015112	-0.69096	0.479846	-0.368066
DefaultA_PFCm_3_L	-0.471983	0.112273	-1.28368	0.161311	-0.990831	-1.263605	-0.457221	-0.915388	-0.752784	0.527377	-1.188543	-0.689786	-0.603465	-0.194189	-0.481407	-1.124217	-1.097673	1.013102	-0.787842	-1.151069	-0.524998	0.06139	-0.720649	-0.257786	-0.956948	-0.113482	-0.798612	-0.660751	0.022253	0.629147	-1.282276	-0.82572	-1.10312	-0.214945	-0.888903	-0.921751	-1.233218	1.607039	0.437495	-0.940772	-0.702884	-0.15702	-1.070484	-0.701138	-0.162408	-1.206522	0.556249	-0.074745	-1.050126	-0.109085	0.93096	0.080897	-0.335021	-0.855951	-0.316546	-0.64653	-0.667563	-1.316109	-0.266443	-0.550756	-0.792327	-1.045208	-0.710927	-0.59876	-0.520799	-0.885191	-0.875436	-0.876675	-0.928633	-0.505128	-1.537306	-0.936976	-0.804606	0.26695	-1.331433	0.373112	-1.765116	-0.485749	-0.356747	0.473906	-1.019289	0.879261	0.051639	0.466917	-0.556901	-0.655779	-1.110832	-1.034724	-1.261988	-0.7726	-0.882175	-1.60632	-0.486996	-1.127269	1.68775	-1.120246	-0.015112	-0.733822	-0.19004	-0.368066
DefaultA_PFCm_4_L	-0.471983	-1.434433	0.565477	0.156735	-0.98254	-0.957698	0.225499	-1.319419	-0.696106	-1.215881	-0.538154	-0.562111	-0.603465	-0.507278	-1.051533	2.307152	-1.097673	0.019427	-1.003479	-1.151069	-0.524998	-0.340426	-0.720649	-0.257786	0.563728	-0.113482	-0.828203	-0.660751	-1.144606	0.629147	-1.574138	-0.82572	-1.059114	-0.214945	-0.888903	-0.921751	-1.19973	1.607039	0.437495	-0.492835	-0.702884	-0.15702	-0.689948	-0.701138	-0.876227	0.109068	-0.54821	-1.263958	-0.642865	-0.109085	-0.024772	0.080897	-1.577799	-0.875107	-0.942226	0.34335	0.297533	-2.26899	-0.537645	-0.60689	-0.792327	-1.045208	-0.710927	-0.809665	-1.14172	-1.026552	-1.00544	-0.639766	-1.035147	-0.949552	-0.841353	-0.890505	-0.089545	0.26695	-1.331433	1.596022	-1.765116	-0.633209	-1.375319	0.473906	-0.619959	0.879261	0.051639	-1.23929	-1.134506	-0.655779	-0.584598	-0.577054	-1.261988	-0.570055	-1.502734	-1.60632	-1.155814	-1.002594	-0.291506	-1.120246	-1.652841	-1.341163	0.479846	-1.14253
DefaultA_PHC_1_L	-0.851629	0.072396	1.240481	0.622129	-0.646124	0.010534	-0.946734	-0.833765	-0.696106	-0.155011	-1.188543	1.150091	0.841036	-0.595969	0.794494	2.307152	-0.669642	-0.275682	0.38283	-1.123388	-0.524998	-0.340426	0.055657	0.149339	1.787661	1.026724	-0.798612	1.004767	0.022253	-0.768802	-1.240794	-0.608506	-1.10312	0.406088	-0.171465	-0.921751	-0.851127	-0.647746	1.704869	-0.492835	-0.289828	0.385199	1.241527	-0.911125	0.675574	1.029657	-0.400028	-0.706121	1.214767	-0.826722	0.001568	-0.021069	-0.526039	0.532697	1.696332	-0.447709	-0.298308	-1.28541	-0.566942	-0.60689	0.26611	-0.237809	0.190695	-0.809665	-0.520799	-0.840688	1.792845	-0.876675	-0.818361	-0.755035	1.54547	-0.38412	-0.804606	-0.992019	2.277081	0.373112	0.599437	-0.485749	-0.147829	0.549077	0.142409	-1.125186	-0.191775	0.42826	-0.630008	-0.208867	-0.313005	-1.034724	-1.261988	0.92381	-0.34246	0.617341	-0.486996	-0.651663	-0.497531	-0.318679	0.255353	-0.06265	-0.494292	1.268895
